date,value
20120714,45
20120716,48
20120717,52
20120718,52
20120719,51
20120720,51
20120721,46
20120723,47
20120724,41
20120725,51
20120726,55
20120727,61
20120728,57
20120730,57
20120731,55
20120801,55
20120802,49
20120803,63
20120804,65
20120806,71
20120807,70
20120808,73
20120809,75
20120810,70
20120811,73
20120813,75
20120814,74
20120815,72
20120816,78
20120817,79
20120818,78
20120820,75
20120821,74
20120822,74
20120823,72
20120824,70
20120825,68
20120827,68
20120828,68
20120829,63
20120830,63
20120831,59
20120901,61
20120904,71
20120905,74
20120906,76
20120907,83
20120908,80
20120910,78
20120911,86
20120912,84
20120913,91
20120914,93
20120915,92
20120917,92
20120918,92
20120919,92
20120920,93
20120921,93
20120922,82
20120924,81
20120925,81
20120926,70
20120927,76
20120928,71
20120929,74
20121001,72
20121002,75
20121003,76
20121004,77
20121005,78
20121006,69
20121008,72
20121009,66
20121010,59
20121011,56
20121012,56
20121013,60
20121015,54
20121016,63
20121017,61
20121018,53
20121019,56
20121020,51
20121022,56
20121023,42
20121024,45
20121025,41
20121026,40
20121027,41
20121031,45
20121101,50
20121102,50
20121103,48
20121105,46
20121106,47
20121107,45
20121108,40
20121109,39
20121110,36
20121112,35
20121113,37
20121114,31
20121115,28
20121116,28
20121117,33
20121119,38
20121120,42
20121121,39
20121123,47
20121124,46
20121126,47
20121127,49
20121128,49
20121129,52
20121130,50
20121201,43
20121203,45
20121204,45
20121205,45
20121206,45
20121207,51
20121208,55
20121210,55
20121211,55
20121212,58
20121213,60
20121214,57
20121215,63
20121217,64
20121218,67
20121219,64
20121220,59
20121221,56
20121222,56
20121224,51
20121226,58
20121227,58
20121228,66
20121229,67
20121231,66
20130102,68
20130103,69
20130104,82
20130105,80
20130107,82
20130108,80
20130109,81
20130110,85
20130111,85
20130112,84
20130114,86
20130115,89
20130116,85
20130117,86
20130118,89
20130119,86
20130122,89
20130123,92
20130124,92
20130125,91
20130126,91
20130128,93
20130129,94
20130130,93
20130131,89
20130201,88
20130202,84
20130204,80
20130205,88
20130206,81
20130207,85
20130208,83
20130209,82
20130211,82
20130212,82
20130213,83
20130214,87
20130215,84
20130216,83
20130219,81
20130220,79
20130221,68
20130222,78
20130223,66
20130225,62
20130226,61
20130227,56
20130228,61
20130301,60
20130302,60
20130304,60
20130305,71
20130306,69
20130307,73
20130308,82
20130309,73
20130311,79
20130312,77
20130313,77
20130314,79
20130315,77
20130316,71
20130318,70
20130319,73
20130320,69
20130321,69
20130322,69
20130323,70
20130325,70
20130326,68
20130327,70
20130328,72
20130330,68
20130401,63
20130402,63
20130403,59
20130404,55
20130405,52
20130406,59
20130408,53
20130409,56
20130410,56
20130411,57
20130412,57
20130413,53
20130415,41
20130416,52
20130417,47
20130418,35
20130419,41
20130420,43
20130422,42
20130423,46
20130424,48
20130425,53
20130426,53
20130427,53
20130429,60
20130430,61
20130501,62
20130502,63
20130503,64
20130504,67
20130506,73
20130507,78
20130508,77
20130509,76
20130510,77
20130511,77
20130513,80
20130514,86
20130515,87
20130516,85
20130517,91
20130518,86
20130520,83
20130521,83
20130522,83
20130523,80
20130524,75
20130525,81
20130528,67
20130529,66
20130530,72
20130531,60
20130601,58
20130603,55
20130604,48
20130605,32
20130606,34
20130607,40
20130608,35
20130610,34
20130611,31
20130612,30
20130613,30
20130614,29
20130615,26
20130617,24
20130618,24
20130619,21
20130620,19
20130621,19
20130622,15
20130624,18
20130625,19
20130626,20
20130627,21
20130628,22
20130629,23
20130701,25
20130702,29
20130703,30
20130705,38
20130706,34
20130708,40
20130709,48
20130710,49
20130711,51
20130712,61
20130713,53
20130715,60
20130716,62
20130717,57
20130718,62
20130719,68
20130720,63
20130722,63
20130723,65
20130724,64
20130725,62
20130726,64
20130727,63
20130729,59
20130730,62
20130731,61
20130801,68
20130802,62
20130803,64
20130805,61
20130806,54
20130807,47
20130808,52
20130809,44
20130810,51
20130812,50
20130813,50
20130814,46
20130815,43
20130816,39
20130817,38
20130819,32
20130820,26
20130821,26
20130822,32
20130823,27
20130824,26
20130826,25
20130827,18
20130828,24
20130829,23
20130830,20
20130831,23
20130903,17
20130904,28
20130905,33
20130906,36
20130907,32
20130909,43
20130910,52
20130911,47
20130912,46
20130913,48
20130914,48
20130916,50
20130917,54
20130918,56
20130919,62
20130920,57
20130921,56
20130923,49
20130924,48
20130925,47
20130926,39
20130927,41
20130928,39
20130930,35
20131001,40
20131002,35
20131003,29
20131004,34
20131005,31
20131007,27
20131008,20
20131009,29
20131010,35
20131011,31
20131012,35
20131014,39
20131015,39
20131016,46
20131017,48
20131018,56
20131019,50
20131021,53
20131022,55
20131023,61
20131024,62
20131025,62
20131026,62
20131028,64
20131029,64
20131030,64
