date,parts,savings,total_value,invested_value
20110104,91.2558631892099,0,1000.0,1000.0
20110105,91.2558631892099,0,1010.038144950813,1010.038144950813
20110106,91.2558631892099,0,1017.4298698691391,1017.4298698691391
20110107,91.2558631892099,0,1019.7751455531017,1019.7751455531017
20110110,91.2558631892099,0,1018.5340658137286,1018.5340658137286
20110111,91.2558631892099,0,1024.3288131262434,1024.3288131262434
20110112,91.2558631892099,0,1027.1121169535143,1027.1121169535143
20110113,91.2558631892099,0,1011.3978573123322,1011.3978573123322
20110114,91.2558631892099,0,1012.1461553904838,1012.1461553904838
20110118,91.2558631892099,0,1015.5226223284845,1015.5226223284845
20110119,91.2558631892099,0,1002.2813965797302,1002.2813965797302
20110120,91.2558631892099,0,997.7733569381833,997.7733569381833
20110121,91.2558631892099,0,990.7557810589329,990.7557810589329
20110124,91.2558631892099,0,991.4858279644467,991.4858279644467
20110125,91.2558631892099,0,990.6827763683816,990.6827763683816
20110126,91.2558631892099,0,994.9991786972312,994.9991786972312
20110127,91.2558631892099,0,994.2691317917177,994.2691317917177
20110128,91.2558631892099,0,987.6257049515431,987.6257049515431
20110131,91.2558631892099,0,985.9739738278184,985.9739738278184
20110201,91.2558631892099,1000,1996.6509098209558,996.6509098209559
20110202,91.2558631892099,1000,1997.46308700334,997.46308700334
20110203,91.2558631892099,1000,2008.3864138270883,1008.3864138270884
20110204,91.2558631892099,1000,2015.4131152926575,1015.4131152926576
20110207,91.2558631892099,1000,2022.1569235823401,1022.1569235823401
20110208,91.2558631892099,1000,2018.6253216769178,1018.6253216769177
20110209,91.2558631892099,1000,2012.5203044295595,1012.5203044295596
20110210,91.2558631892099,1000,2017.0283440711064,1017.0283440711065
20110211,91.2558631892099,1000,2023.224617181654,1023.2246171816539
20110214,179.58650243804615,0,2033.1167527513642,2033.1167527513642
20110215,179.58650243804615,0,2024.5684352353135,2024.5684352353135
20110216,179.58650243804615,0,2035.7387156869597,2035.7387156869597
