date,parts,savings,total_value,invested_value
20150402,3897.228308061106,3000,79590.27932417089,76590.27932417089
20150407,3897.228308061106,3000,80403.63087206324,77403.63087206324
20150408,3897.228308061106,3000,81008.48070547433,78008.48070547433
20150409,3897.228308061106,3000,82083.33627283758,79083.33627283758
20150410,3897.228308061106,3000,82811.33852078339,79811.33852078339
20150413,3897.228308061106,3000,82886.55502712897,79886.55502712897
20150414,3897.228308061106,3000,82322.23636812172,79322.23636812172
20150415,3897.228308061106,3000,83146.11043244584,80146.11043244584
20150416,3897.228308061106,3000,82599.32930082487,79599.32930082487
20150417,3897.228308061106,3000,81271.54361626845,78271.54361626845
20150420,3897.228308061106,3000,81877.56261817194,78877.56261817194
20150421,3897.228308061106,3000,82104.7710285319,79104.7710285319
20150422,3897.228308061106,3000,82449.67573379532,79449.67573379532
20150423,3897.228308061106,3000,82142.5741431201,79142.5741431201
20150424,3897.228308061106,3000,82016.30394593891,79016.30394593891
20150427,3897.228308061106,3000,81962.91191811848,78962.91191811848
20150428,3897.228308061106,3000,81342.86289430596,78342.86289430596
20150429,3897.228308061106,3000,79846.3272240105,76846.3272240105
20150430,3897.228308061106,3000,78738.73493885953,75738.73493885953
20150501,3897.228308061106,4000,80006.86424645413,76006.86424645413
20150505,3897.228308061106,4000,79668.97455214524,75668.97455214524
20150506,3897.228308061106,4000,78552.41864188573,74552.41864188573
20150507,3897.228308061106,4000,79036.45439774691,75036.45439774691
20150508,3897.228308061106,4000,80418.8012786162,76418.8012786162
20150511,3897.228308061106,4000,80662.76777070081,76662.76777070081
20150512,3897.228308061106,4000,79846.29844016202,75846.29844016202
20150513,3897.228308061106,4000,79363.82157562405,75363.82157562405
20150514,3897.228308061106,4000,79772.64082513966,75772.64082513966
20150515,3897.228308061106,4000,79534.13045268632,75534.13045268632
20150518,3897.228308061106,4000,80126.89887834241,76126.89887834241
20150519,3897.228308061106,4000,81536.91608019892,77536.91608019892
20150520,3897.228308061106,4000,81728.26999012474,77728.26999012474
20150521,3897.228308061106,4000,81904.42470964909,77904.42470964909
20150522,3897.228308061106,4000,82285.57363817746,78285.57363817746
20150526,3897.228308061106,4000,82209.57768617028,78209.57768617028
20150527,3897.228308061106,4000,82921.60129805304,78921.60129805304
20150528,3897.228308061106,4000,82525.25317912323,78525.25317912323
20150529,3897.228308061106,4000,81677.21629928912,77677.21629928912
20150602,3897.228308061106,5000,81665.88555334727,76665.88555334727
20150603,3897.228308061106,5000,81060.25627427458,76060.25627427458
20150604,3897.228308061106,5000,80341.2176514373,75341.2176514373
20150605,3897.228308061106,5000,80864.2256903791,75864.2256903791
20150608,3897.228308061106,5000,79877.83720560884,74877.83720560884
20150609,3897.228308061106,5000,79589.44231081232,74589.44231081232
20150610,3897.228308061106,5000,80274.18532453866,75274.18532453866
20150611,3897.228308061106,5000,80862.66679905588,75862.66679905588
20150612,3897.228308061106,5000,80240.66916108933,75240.66916108933
20150615,3897.228308061106,5000,79786.6420632002,74786.6420632002
20150616,3897.228308061106,5000,80194.6818670542,75194.6818670542
20150617,3897.228308061106,5000,80134.27482827926,75134.27482827926
20150618,3897.228308061106,5000,79803.01042209406,74803.01042209406
20150619,3897.228308061106,5000,80047.75635984029,75047.75635984029
20150622,3897.228308061106,5000,80498.66567508297,75498.66567508297
20150623,3897.228308061106,5000,81932.84569244945,76932.84569244945
20150624,3897.228308061106,5000,81485.83360551484,76485.83360551484
20150625,3897.228308061106,5000,81256.28685817005,76256.28685817005
20150626,3897.228308061106,5000,81400.8740283991,76400.8740283991
20150629,4158.180470310723,0,79673.23271943563,79673.23271943563
20150630,4158.180470310723,0,79643.70963809644,79643.70963809644
20150701,4209.852846774988,0,81472.01918778231,81472.01918778231
20150702,4209.852846774988,0,81459.81061452666,81459.81061452666
20150706,4209.852846774988,0,80851.90786345236,80851.90786345236
20150707,4209.852846774988,0,81664.40946287994,81664.40946287994
20150708,4209.852846774988,0,79874.3800324312,79874.3800324312
20150709,4209.852846774988,0,80512.5937240023,80512.5937240023
20150710,4209.852846774988,0,80792.54893831283,80792.54893831283
20150713,4209.852846774988,0,82708.45296888013,82708.45296888013
20150714,4209.852846774988,0,83291.93857344314,83291.93857344314
20150715,4209.852846774988,0,83565.15802319885,83565.15802319885
20150716,4209.852846774988,0,84627.72488172485,84627.72488172485
20150717,4209.852846774988,0,84964.09212418218,84964.09212418218
20150720,4209.852846774988,0,84950.62059507248,84950.62059507248
20150721,4209.852846774988,0,84202.95072948525,84202.95072948525
20150722,4209.852846774988,0,83996.24695470861,83996.24695470861
20150723,4209.852846774988,0,83155.11835592297,83155.11835592297
20150724,4209.852846774988,0,82435.23351912443,82435.23351912443
20150727,4209.852846774988,0,80868.32628955478,80868.32628955478
20150728,4209.852846774988,0,81967.09788256306,81967.09788256306
20150729,4209.852846774988,0,82654.56685244142,82654.56685244142
20150730,4209.852846774988,0,83428.33780567865,83428.33780567865
20150731,4209.852846774988,0,82765.2859823116,82765.2859823116
20150804,4209.852846774988,1000,84114.70376859391,83114.70376859391
20150805,4259.9510392322045,0,85032.03070390619,85032.03070390619
20150806,4259.9510392322045,0,84194.52432959313,84194.52432959313
20150807,4259.9510392322045,0,83748.50745578553,83748.50745578553
20150810,4259.9510392322045,0,84355.55047887612,84355.55047887612
20150811,4259.9510392322045,0,83044.33754900044,83044.33754900044
20150812,4259.9510392322045,0,81662.4094318735,81662.4094318735
20150813,4259.9510392322045,0,82110.13028609681,82110.13028609681
20150814,4259.9510392322045,0,82348.68754429382,82348.68754429382
20150817,4259.9510392322045,0,82872.23552701547,82872.23552701547
20150818,4259.9510392322045,0,82954.87857717655,82954.87857717655
20150819,4259.9510392322045,0,81934.62030328045,81934.62030328045
20150820,4259.9510392322045,0,79546.06575558295,79546.06575558295
20150821,4259.9510392322045,0,76593.91968539504,76593.91968539504
20150824,4259.9510392322045,0,72070.27767683436,72070.27767683436
20150825,4259.9510392322045,0,72860.92458971585,72860.92458971585
20150826,4259.9510392322045,0,74406.4348267493,74406.4348267493
20150827,4259.9510392322045,0,77258.47204751526,77258.47204751526
20150828,4259.9510392322045,0,77570.30046358706,77570.30046358706
20150831,4259.9510392322045,0,77093.18594719305,77093.18594719305
20150901,4317.019544265647,0,75646.27007025808,75646.27007025808
20150902,4317.019544265647,0,76550.2539628273,76550.2539628273
20150903,4317.019544265647,0,77818.16260297812,77818.16260297812
20150904,4317.019544265647,0,76384.04871037307,76384.04871037307
20150908,4317.019544265647,0,77402.86532281977,77402.86532281977
20150909,4317.019544265647,0,77588.92886517762,77588.92886517762
20150910,4317.019544265647,0,77086.4277902251,77086.4277902251
20150911,4317.019544265647,0,76732.00048564089,76732.00048564089
20150914,4317.019544265647,0,76376.70977714783,76376.70977714783
20150915,4317.019544265647,0,77149.02457361695,77149.02457361695
20150916,4317.019544265647,0,77934.7221306733,77934.7221306733
20150917,4317.019544265647,0,77743.0464629079,77743.0464629079
20150918,4317.019544265647,0,76297.70831948776,76297.70831948776
20150921,4317.019544265647,0,77452.07934562438,77452.07934562438
20150922,4317.019544265647,0,76531.25907683253,76531.25907683253
20150923,4317.019544265647,0,76257.12833577167,76257.12833577167
20150924,4317.019544265647,0,74851.9384741132,74851.9384741132
20150925,4317.019544265647,0,75969.18313216914,75969.18313216914
20150928,4317.019544265647,0,74144.37897080806,74144.37897080806
20150929,4317.019544265647,0,73616.8391824988,73616.8391824988
20150930,4317.019544265647,0,75496.46949207205,75496.46949207205
20151001,4374.191477420222,0,76509.42055070485,76509.42055070485
20151002,4374.191477420222,0,76946.40227929913,76946.40227929913
20151005,4374.191477420222,0,78848.73815282919,78848.73815282919
20151006,4374.191477420222,0,78654.52405123173,78654.52405123173
20151007,4374.191477420222,0,79446.69012779254,79446.69012779254
20151008,4374.191477420222,0,79649.21519319709,79649.21519319709
20151009,4374.191477420222,0,79597.59973376352,79597.59973376352
20151012,4374.191477420222,0,79497.86816807835,79497.86816807835
20151013,4374.191477420222,0,78863.6104038524,78863.6104038524
20151014,4374.191477420222,0,78054.82239967742,78054.82239967742
20151015,4374.191477420222,0,79476.87204898673,79476.87204898673
20151016,4374.191477420222,0,79912.10410099004,79912.10410099004
20151019,4374.191477420222,0,80209.11170230688,80209.11170230688
20151020,4374.191477420222,0,79867.04992877261,79867.04992877261
20151021,4374.191477420222,0,79565.23071683061,79565.23071683061
20151022,4374.191477420222,0,81755.82580872267,81755.82580872267
20151023,4374.191477420222,0,83547.05721872626,83547.05721872626
20151027,4374.191477420222,0,82910.6123587616,82910.6123587616
20151028,4374.191477420222,0,83667.78490350305,83667.78490350305
20151029,4374.191477420222,0,84106.5163086883,84106.5163086883
20151030,4374.191477420222,0,83413.20695951719,83413.20695951719
20151102,4374.191477420222,1000,84960.8557324902,83960.8557324902
20151103,4374.191477420222,1000,85703.15602620841,84703.15602620841
20151104,4374.191477420222,1000,86244.2435119653,85244.2435119653
20151105,4374.191477420222,1000,86091.58422940332,85091.58422940332
20151106,4374.191477420222,1000,86743.77617868668,85743.77617868668
20151109,4374.191477420222,1000,86078.46165497106,85078.46165497106
20151110,4374.191477420222,1000,86442.83180504017,85442.83180504017
20151111,4374.191477420222,1000,86239.43190134013,85239.43190134013
20151112,4374.191477420222,1000,85028.21828124247,84028.21828124247
20151113,4374.191477420222,1000,84340.59538099202,83340.59538099202
20151116,4374.191477420222,1000,85121.82597885927,84121.82597885927
20151117,4374.191477420222,1000,86094.20874428979,85094.20874428979
